Wire length data points,,Min Fitness ,Ave Fitness,Max Fitness
130.0108757,,,,
110.5883817,,,,
97.63347182,,,,
147.0252061,,,,
112.6786415,,,,
137.4668984,,,,
139.025565,,,,
142.7725459,,,,
106.7101231,,,,
96.13717164,,,,
164.8678938,,,,
112.339948,,,,
138.9721437,,,,
147.1680553,,,,
147.6477576,,,,
146.0136952,,,,
131.714206,,,,
139.4795471,,,,
141.7171375,,,,
129.7428626,,,,
174.466655,,,,
130.4063249,,,,
100.075169,,,,
124.2832945,,,,
151.1014058,,,,
130.5653805,,,,
134.6512109,,,,
173.5505939,,,,
136.1234266,,,,
117.9521762,,,,
96.75849215,,,,
132.6205534,,,,
117.1403767,,,,
143.7748233,,,,
109.30161,,,,
153.2998091,,,,
130.2981408,,,,
142.3091802,,,,
107.4261047,,,,
126.6921614,,,,
152.4031273,,,,
101.3035877,,,,
115.78462,,,,
137.2983469,,,,
91.216422,,,,
153.1366924,,,,
115.8229764,,,,
119.4961917,,,,
101.9013934,,,,
74.67972966,,,,
114.6098429,,,,
162.2290811,,,,
137.9758738,,,,
123.4721904,,,,
126.5540014,,,,
142.2928528,,,,
120.4847115,,,,
153.9865654,,,,
88.70280758,,,,
135.5414806,,,,
91.78861123,,,,
115.8763319,,,,
103.971915,,,,
121.8867869,,,,
112.1486749,,,,
138.4901969,,,,
132.786161,,,,
143.3033376,,,,
119.758437,,,,
158.6805994,,,,
159.4889487,,,,
109.5899132,,,,
102.0995099,,,,
104.5600545,,,,
106.6667456,,,,
97.68980586,,,,
113.1075928,,,,
130.8941057,,,,
105.4105752,,,,
125.463065,,,,
145.3922458,,,,
127.528412,,,,
132.0457635,,,,
83.33776846,,,,
145.3525531,,,,
184.6540341,,,,
143.4788333,,,,
152.4794808,,,,
170.8311229,,,,
121.2506714,,,,
123.6039757,,,,
127.9769498,,,,
114.898267,,,,
122.0006527,,,,
140.7195084,,,,
152.3104251,,,,
142.2533331,,,,
156.4080345,,,,
164.2370611,,,,
155.6803976,,,,
109.6360282,,,,
137.2198804,,,,
114.4642266,,,,
146.0070168,,,,
100.0706656,,,,
153.3264491,,,,
133.5603921,,,,
116.7502411,,,,
141.3147792,,,,
113.9972306,,,,
109.900691,,,,
148.318799,,,,
95.33312215,,,,
135.9968123,,,,
135.5977334,,,,
117.3231073,,,,
133.500981,,,,
110.5708003,,,,
120.4884728,,,,
110.0716497,,,,
131.5550181,,,,
136.5556448,,,,
98.38240025,,,,
131.5520563,,,,
121.5756091,,,,
140.0821827,,,,
115.1313191,,,,
173.0013316,,,,
144.5191004,,,,
123.6279388,,,,
98.24655631,,,,
163.1450702,,,,
115.2656484,,,,
96.6345612,,,,
109.481516,,,,
89.25345627,,,,
147.031741,,,,
